id,model,specs,rating,votes,service_rating,price,price_discount,url
829ba653-24bd-11ec-8ef9-00155d8ed20b,"13.3"" Ноутбук Irbis NB77 черный",HD (1366x768); TN+film; Intel Atom Z3735F; ядра: 4 х 1.33 ГГц; RAM 2 ГБ; eMMC 32 ГБ; Intel HD Graphics; Windows 10 Home Single Language,3.5,89,93.11,14999,14999,https://www.dns-shop.ru/product/829ba65324bded20/133-noutbuk-irbis-nb77-cernyj/
e259ba0d-eda1-11eb-a293-00155dd2ff2c,"14"" Ноутбук Irbis NB257 серый",HD (1366x768); IPS; Intel Celeron 3350; ядра: 2 х 1.1 ГГц; RAM 4 ГБ; eMMC 64 ГБ; Intel HD Graphics 500; Windows 10 Home Single Language,4.5,52,97.67,15999,15999,https://www.dns-shop.ru/product/e259ba0deda12ff2/14-noutbuk-irbis-nb257-seryj/
ce257262-3e34-11ed-9025-00155d8ed20b,"14.1"" Ноутбук Irbis NB270 белый",Full HD (1920x1080); IPS; Intel Celeron N4020; ядра: 2 х 1.1 ГГц; RAM 4 ГБ; eMMC 128 ГБ; Intel UHD Graphics 600; Windows 10 Pro,4.0,27,98.7,15999,15999,https://www.dns-shop.ru/product/ce2572623e34ed20/141-noutbuk-irbis-nb270-belyj/
c453df98-dd51-4fd2-a984-7b3bcd0a531f,"14.1"" Ноутбук Digma EVE 14 C414 серый",Full HD (1920x1080); IPS; Intel Celeron N4020; ядра: 2 х 1.1 ГГц; RAM 4 ГБ; eMMC 64 ГБ; Intel UHD Graphics 600; Windows 10 Home Single Language,2.5,3,97.76,17999,17999,https://www.dns-shop.ru/product/c453df98dd51a531/141-noutbuk-digma-eve-14-c414-seryj/
9e7bf670-f005-4192-918d-471de2c20659,"14"" Ноутбук Irbis NB283 серый",HD (1366x768); IPS; Intel Celeron 3350; ядра: 2 х 1.1 ГГц; RAM 4 ГБ; eMMC 128 ГБ; Intel HD Graphics 500; Windows 10 Pro,0.0,0,0.0,19199,19199,https://www.dns-shop.ru/product/9e7bf670f0052065/14-noutbuk-irbis-nb283-seryj/
e259ba0e-eda1-11eb-a293-00155dd2ff2c,"15.6"" Ноутбук Irbis NB261 серый",Full HD (1920x1080); IPS; Intel Celeron 3350; ядра: 2 х 1.1 ГГц; RAM 4 ГБ; SSD 128 ГБ; Intel HD Graphics 500; Windows 10 Home Single Language,3.5,35,94.49,19999,19999,https://www.dns-shop.ru/product/e259ba0eeda12ff2/156-noutbuk-irbis-nb261-seryj/
e259ba0f-eda1-11eb-a293-00155dd2ff2c,"15.6"" Ноутбук Irbis NB262 серебристый",Full HD (1920x1080); IPS; Intel Celeron 3350; ядра: 2 х 1.1 ГГц; RAM 4 ГБ; eMMC 128 ГБ; Intel HD Graphics 500; Windows 10 Home Single Language,4.0,16,92.93,19999,19999,https://www.dns-shop.ru/product/e259ba0feda12ff2/156-noutbuk-irbis-nb262-serebristyj/
9da857b1-58e4-11ed-9042-00155d8ed20c,"15.6"" Ноутбук Irbis NB263 черный",Full HD (1920x1080); IPS; Intel Celeron N3350; ядра: 2 х 1.1 ГГц; RAM 4 ГБ; SSD 128 ГБ; Intel HD Graphics 500; Windows 10 Home Single Language,3.5,5,98.83,19999,19999,https://www.dns-shop.ru/product/9da857b158e4ed20/156-noutbuk-irbis-nb263-cernyj/
a9273ca7-3e36-11ed-9025-00155d8ed20b,"15.6"" Ноутбук Irbis NB285 черный",HD (1366x768); TN+film; Intel Pentium J3710; ядра: 4 х 1.6 ГГц; RAM 4 ГБ; eMMC 128 ГБ; Intel HD Graphics; Windows 10 Pro,3.5,17,97.39,19999,19999,https://www.dns-shop.ru/product/a9273ca73e36ed20/156-noutbuk-irbis-nb285-cernyj/
39ef8ed1-9fa3-11ec-a28c-00155dd2ff41,"15.6"" Ноутбук Lenovo V15 ADA серый",HD (1366x768); TN+film; AMD 3020e; ядра: 2 х 1.2 ГГц; RAM 4 ГБ; SSD 256 ГБ; AMD Radeon Graphics; без ОС,4.5,11,99.78,27999,25199,https://www.dns-shop.ru/product/39ef8ed19fa32ff4/156-noutbuk-lenovo-v15-ada-seryj/
0215b967-8e5e-11ec-8f74-00155d8ed209,"15.6"" Ноутбук Lenovo V15 IGL серый",HD (1366x768); TN+film; Intel Celeron N4020; ядра: 2 х 1.1 ГГц; RAM 4 ГБ; SSD 128 ГБ; Intel UHD Graphics 600; без ОС,4.5,3,100.0,25999,25999,https://www.dns-shop.ru/product/0215b9678e5eed20/156-noutbuk-lenovo-v15-igl-seryj/
6bcaab17-5e1a-11ec-8f4a-00155d8ed20c,"14"" Ноутбук ASUS Laptop 14 F415MA-EK582W серый",Full HD (1920x1080); TN+film; Intel Celeron N4020; ядра: 2 х 1.1 ГГц; RAM 4 ГБ; SSD 128 ГБ; Intel UHD Graphics; Windows 11 Home Single Language,5.0,1,100.0,26999,26999,https://www.dns-shop.ru/product/6bcaab175e1aed20/14-noutbuk-asus-laptop-14-f415ma-ek582w-seryj/
9e6dc3d2-dac0-11ea-a211-00155d03332b,"15.6"" Ноутбук Acer Aspire 3 A315-23-R3LH черный",Full HD (1920x1080); TN+film; AMD Athlon Silver 3050U; ядра: 2 х 2.3 ГГц; RAM 4 ГБ; SSD 256 ГБ; AMD Radeon Graphics; без ОС,4.5,108,99.38,29999,26999,https://www.dns-shop.ru/product/9e6dc3d2dac03332/156-noutbuk-acer-aspire-3-a315-23-r3lh-cernyj/
