rating,votes,service_rating,price,price_discount,warranty,type,model,model_id,release_year,operating_system,game_notebook,form_factor,cover_color,cover_material,body_material,keyboard_layout,numpad_layout,keyboard_backlight,touchpad,fingerprint,mech_keyboard,screen_type,screen_size,screen_res,screen_coat,screen_sensor,screen_frec,screen_bright,screen_ppi,screen_sync,cpu_model,cpu_core,cpu_core_productive,cpu_core_effective,cpu_thread,cpu_freq,cpu_accelerated,ram_type,ram_capacity,ram_freq,gpu_type,gpu_model_int,gpu_model_disc,ssd_volume,hdd_volume,emmc_volume,webcam,mic,card_type,optical_drive,wireless_interface,ethernet_port,video_port,audio_port,usb_type_a,usb_type_c,additional_interfaces,thunderbolt,usb_power_delivery,acc_type,acc_capacity,acc_time,features,specification,depth,width,height,weight,country_of_manufacturer,ram_slots,ram_max_volume,ram_free_slot,second_display,video_port_type,color_manufacturer,tpm_support,ssd_type,seller_warranty,screen_color_depth,adapter_output_power,hdd_spin_vel,gpu_manufacturer,video_type,gddr_volume,freq_with_acc,advanced_features,screen_hdr,power_consumption_max
4.5,3,100.0,25999,25999,12 мес.,ноутбук,Lenovo V15 IGL,[82C3008HRU],2021.0,без ОС,нет,классический,серый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",HD (1366x768),матовое,нет,60 Гц,220 Кд/м²,141 ppi,нет,Intel Celeron N4020,2.0,2,нет,2,1.1 ГГц,2.8 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,Intel UHD Graphics 600,нет,128 ГБ,нет,нет,0.3 Мп (480p),есть,"SD, MMC",нет,"WI-FI 5 (802.11ac), Bluetooth 5.0",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,нет,Li-Pol,35 Вт*ч,6 ч,,"документация, адаптер питания",251.5 мм,362.2 мм,19.9 мм,1.85 кг,,интегрированная,4 ГБ,нет,,HDMI 1.4b,,есть,M.2 PCIe (2242),,,45 Вт,,,,,,,,
5.0,1,100.0,26999,26999,,ноутбук,ASUS Laptop 14 F415MA-EK582W,[90NB0TG2-M002S0],2021.0,Windows 11 Home Single Language,нет,классический,серый,пластик,пластик,английская/русская,нет,нет,стандартный тачпад,нет,нет,TN+film,"14""",Full HD (1920x1080),матовое,нет,60 Гц,220 Кд/м²,157 ppi,нет,Intel Celeron N4020,2.0,2,нет,2,1.1 ГГц,2.8 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,Intel UHD Graphics,нет,128 ГБ,нет,нет,0.3 Мп (480p),есть,нет,нет,"WI-FI 5 (802.11ac), Bluetooth 4.1",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",USB 3.2 Gen1,нет,нет,нет,Li-Ion,37 Вт*ч,6 ч,,"документация, адаптер питания",216 мм,325.4 мм,19.9 мм,1.6 кг,,1,8 ГБ,нет,,HDMI 1.4,,есть,M.2 PCIe,12 мес.,NTSC 45%,33 Вт,,,,,,,,
4.5,108,99.38,29999,26999,12 мес.,ноутбук,Acer Aspire 3 A315-23-R3LH,[NX.HVTER.001],2020.0,без ОС,нет,классический,черный,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,220 Кд/м²,141 ppi,нет,AMD Athlon Silver 3050U,2.0,2,нет,2,2.3 ГГц,3.2 ГГц,DDR4,4 ГБ,2133 МГц,встроенный,AMD Radeon Graphics,нет,256 ГБ,нет,нет,0.3 Мп (480p),есть,нет,нет,"WI-FI 5 (802.11ac), Bluetooth 4.0",LAN 1 Гбит/с,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,нет,Li-Ion,4810 мА*ч,9 ч,,"документация, адаптер питания",250.5 мм,363.4 мм,19.9 мм,1.9 кг,,1,12 ГБ,,,,,,M.2 PCIe,,NTSC 45%,36 Вт,,,,,,,,
5.0,8,99.29,29999,26999,12 мес.,ноутбук,Acer Extensa 15 EX215-31-C3FF,[NX.EFTER.00D],2020.0,без ОС,нет,классический,черный,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,,141 ppi,нет,Intel Celeron N4020,2.0,2,нет,2,1.1 ГГц,2.8 ГГц,DDR4,4 ГБ,2133 МГц,встроенный,Intel UHD Graphics,нет,128 ГБ,нет,нет,0.3 Мп (480p),есть,нет,нет,WI-FI 5 (802.11ac),LAN 1 Гбит/с,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",нет,,нет,нет,Li-Ion,4810 мА*ч,6.5 ч,,"документация, адаптер питания",250.5 мм,363.4 мм,19.9 мм,1.94 кг,,1,,нет,,HDMI 1.4,,,M.2 PCIe,,,45 Вт,,,,,,,,
4.5,17,99.27,29999,26999,12 мес.,ноутбук,Acer Extensa 15 EX215-31-C6FV,[NX.EFTER.00P],2021.0,без ОС,нет,классический,черный,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,220 Кд/м²,141 ppi,нет,Intel Celeron N4020,2.0,2,нет,2,1.1 ГГц,2.8 ГГц,DDR4,4 ГБ,2133 МГц,встроенный,Intel UHD Graphics 600,нет,256 ГБ,нет,нет,0.3 Мп (480p),есть,нет,нет,"WI-FI 5 (802.11ac), Bluetooth 4.1",LAN 1 Гбит/с,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",нет,нет,нет,нет,Li-Ion,4810 мА*ч,6.5 ч,,"документация, адаптер питания",250.5 мм,363.4 мм,19.9 мм,1.94 кг,Китай,1,8 ГБ,,,,,,M.2 PCIe,,,45 Вт,,,,,,,,
4.5,27,99.61,29999,26999,12 мес.,ноутбук,Lenovo V15 ADA,[82C7009URU],2021.0,без ОС,нет,классический,серый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,220 Кд/м²,141 ppi,нет,AMD Athlon Gold 3150U,2.0,2,нет,4,2.4 ГГц,3.3 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,AMD Radeon Graphics,нет,256 ГБ,нет,нет,0.3 Мп (480p),есть,"SD, MMC",нет,"WI-FI 5 (802.11ac), Bluetooth 5.0",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,нет,Li-Pol,35 Вт*ч,6 ч,,"документация, адаптер питания",251.5 мм,362.2 мм,19.9 мм,1.85 кг,Китай,интегрированная + 1 слот,12 ГБ,1,,HDMI 1.4b,,есть,M.2 PCIe,,NTSC 45%,65 Вт,,,,,,,,
0.0,0,0.0,27199,27199,12 мес.,ноутбук,ASUS Vivobook Go 14 E410MA-EK1281W,[90NB0Q11-M41630],2021.0,Windows 11 Home Single Language,нет,классический,синий,пластик,пластик,английская/русская,нет,нет,сенсорный NumPad,нет,нет,TN+film,"14""",Full HD (1920x1080),матовое,нет,60 Гц,220 Кд/м²,157 ppi,нет,Intel Celeron N4020,2.0,2,нет,2,1.1 ГГц,2.8 ГГц,DDR4,4 ГБ,2666 МГц,встроенный,Intel UHD Graphics 600,нет,нет,нет,128 ГБ,1 Мп (720p),есть,microSD,нет,"WI-FI 5 (802.11ac), Bluetooth 4.2",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",USB 3.2 Gen1,,нет,нет,Li-Ion,42 Вт*ч,,,"документация, адаптер питания",217 мм,325 мм,18.4 мм,1.3 кг,,интегрированная,4 ГБ,нет,,,,,,,NTSC 45%,,,,,,,,,
0.0,0,0.0,30999,27899,,ноутбук,ASUS Laptop 14 F415MA-EK647W,[90NB0TG2-M005S0],2021.0,Windows 11 Home Single Language,нет,классический,серый,пластик,пластик,английская/русская,нет,нет,стандартный тачпад,нет,нет,TN+film,"14""",Full HD (1920x1080),матовое,нет,60 Гц,220 Кд/м²,157 ppi,нет,Intel Pentium Silver N5030,4.0,4,нет,4,1.1 ГГц,3.1 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,Intel UHD Graphics,нет,128 ГБ,нет,нет,0.3 Мп (480p),есть,нет,нет,"WI-FI 5 (802.11ac), Bluetooth 4.1",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",USB 3.2 Gen1,нет,нет,нет,Li-Ion,37 Вт*ч,6 ч,,"документация, адаптер питания",216 мм,325.4 мм,19.9 мм,1.6 кг,,1,8 ГБ,нет,,HDMI 1.4,,есть,M.2 PCIe,12 мес.,NTSC 45%,33 Вт,,,,,,,,
4.5,6,99.71,27999,27999,,ноутбук,ASUS Laptop 15 F515KA-BR110W,[90NB0VI1-M003X0],2021.0,Windows 11 Home Single Language,нет,классический,серый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",HD (1366x768),матовое,нет,60 Гц,200 Кд/м²,100 ppi,нет,Intel Celeron N4500,2.0,2,нет,2,1.1 ГГц,2.8 ГГц,DDR4,4 ГБ,,встроенный,Intel UHD Graphics,нет,128 ГБ,нет,нет,1 Мп (720p),есть,нет,нет,"WI-FI 5 (802.11ac), Bluetooth 4.1",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",USB 3.2 Gen1,нет,нет,нет,Li-Ion,37 Вт*ч,,,"документация, адаптер питания",234.9 мм,360.2 мм,19.9 мм,1.8 кг,,1,16 ГБ,нет,,HDMI 1.4,,есть,M.2 PCIe,12 мес.,NTSC 45%,33 Вт,,,,,,,,
4.5,12,99.37,27999,27999,,ноутбук,ASUS Laptop 15 F515MA-BR659W,[90NB0TH2-M14730],2021.0,Windows 11 Home Single Language,нет,классический,серебристый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",HD (1366x768),матовое,нет,60 Гц,200 Кд/м²,100 ppi,нет,Intel Celeron N4020,2.0,2,нет,2,1.1 ГГц,2.8 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,Intel UHD Graphics 600,нет,128 ГБ,нет,нет,0.3 Мп (480p),есть,microSD,нет,"WI-FI 5 (802.11ac), Bluetooth 4.1",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",USB 3.2 Gen1,нет,нет,нет,Li-Ion,37 Вт*ч,,сверхтонкая рамка экрана Nanoedge,"документация, адаптер питания",234.9 мм,360.2 мм,19.9 мм,1.8 кг,,1,8 ГБ,нет,,HDMI 1.4,,есть,M.2 PCIe,12 мес.,NTSC 45%,33 Вт,,,,,,,,
5.0,6,98.46,27999,27999,12 мес.,ноутбук,HP 15s-fq0082ur,[3D4V8EA],2020.0,без ОС,нет,классический,серый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,IPS,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,250 Кд/м²,141 ppi,нет,Intel Celeron N4020,2.0,2,нет,2,1.1 ГГц,2.8 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,Intel UHD Graphics 600,нет,128 ГБ,нет,нет,1 Мп (720p),есть,SD,нет,"WI-FI 5 (802.11ac), Bluetooth 4.2",нет,HDMI,3.5 мм jack (микрофон/аудио),USB 3.2 Gen1 x2,USB 3.2 Gen1,нет,нет,нет,Li-Ion,41 Вт*ч,10 ч,поддержка стандарта Miracast,"документация, адаптер питания",242 мм,358.5 мм,17.9 мм,1.65 кг,,1,8 ГБ,нет,,HDMI 1.4b,,,M.2 SATA,,NTSC 45%,45 Вт,,,,,,,,
4.5,10,98.57,27999,27999,12 мес.,ноутбук,HP 250 G8,[27K08EA],2021.0,без ОС,нет,классический,серый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,SVA (TN+film),"15.6""",HD (1366x768),матовое,нет,60 Гц,250 Кд/м²,100 ppi,нет,Intel Celeron N4020,2.0,2,нет,2,1.1 ГГц,2.8 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,Intel UHD Graphics,нет,нет,500 ГБ,нет,1 Мп (720p),есть,SD,нет,"WI-FI 4 (802.11n), Bluetooth 4.0",LAN 1 Гбит/с,HDMI,3.5 мм jack (микрофон/аудио),USB 3.2 Gen1 x2,USB 3.2 Gen1,,нет,нет,Li-Ion,3615 мА*ч,9 ч,"поддержка стандарта Miracast, быстрая зарядка","документация, адаптер питания",242 мм,358 мм,19.9 мм,1.74 кг,,2,8 ГБ,1,,HDMI 1.4b,,есть,,,NTSC 45%,45 Вт,5400 об/мин,,,,,,,
4.5,117,99.19,27999,27999,12 мес.,ноутбук,Lenovo IdeaPad 3 15ADA05,[81W101CERK],2020.0,без ОС,нет,классический,серый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,IPS,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,250 Кд/м²,141 ppi,нет,AMD 3020e,2.0,2,нет,2,1.2 ГГц,2.6 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,AMD Radeon Graphics,нет,256 ГБ,нет,нет,0.3 Мп (480p),есть,"SD, MMC",нет,"WI-FI 5 (802.11ac), Bluetooth 5.0",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,нет,Li-Pol,35 Вт*ч,,шторка веб-камеры,"документация, адаптер питания",253.4 мм,362.2 мм,19.9 мм,1.85 кг,Китай,1,8 ГБ,нет,,HDMI 1.4b,,есть,M.2 PCIe,,,65 Вт,,,,,,,,
5.0,2,99.83,27999,27999,12 мес.,ноутбук,Lenovo IdeaPad 3 15IGL05,[81WQ00EMRK],2021.0,без ОС,нет,классический,серый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",HD (1366x768),матовое,нет,60 Гц,220 Кд/м²,100 ppi,нет,Intel Celeron N4020,2.0,2,нет,2,1.1 ГГц,2.8 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,Intel UHD Graphics 600,нет,256 ГБ,нет,нет,0.3 Мп (480p),есть,"SD, MMC",нет,"WI-FI 5 (802.11ac), Bluetooth 5.0",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,,нет,нет,Li-Pol,35 Вт*ч,14 ч,"раскрытие крышки на 180 градусов, быстрая зарядка, шторка веб-камеры","документация, адаптер питания",253.4 мм,362.2 мм,19.9 мм,1.7 кг,,интегрированная,4 ГБ,нет,,HDMI 1.4b,,есть,M.2 PCIe,,NTSC 45%,45 Вт,,,,,,,,
4.5,8,99.46,27999,27999,12 мес.,ноутбук,Lenovo V15 ADA,[82C7008QRU],2021.0,без ОС,нет,классический,серый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,220 Кд/м²,141 ppi,нет,AMD Athlon Silver 3050U,2.0,2,нет,2,2.3 ГГц,3.2 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,AMD Radeon Graphics,нет,128 ГБ,нет,нет,0.3 Мп (480p),есть,"SD, MMC",нет,"WI-FI 5 (802.11ac), Bluetooth 5.0",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,нет,Li-Pol,35 Вт*ч,6 ч,,"документация, адаптер питания",251.5 мм,362.2 мм,19.9 мм,1.85 кг,Китай,интегрированная + 1 слот,12 ГБ,1,,HDMI 1.4b,,есть,M.2 PCIe,,,65 Вт,,,,,,,,
5.0,1,100.0,27999,27999,12 мес.,ноутбук,Lenovo V15 IGL,[82C3008JRU],2021.0,без ОС,нет,классический,серый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",HD (1366x768),матовое,нет,60 Гц,220 Кд/м²,100 ppi,нет,Intel Celeron N4120,4.0,4,нет,4,1.1 ГГц,2.6 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,Intel UHD Graphics 600,нет,нет,1000 ГБ,нет,0.3 Мп (480p),есть,"SD, MMC",нет,"WI-FI 5 (802.11ac), Bluetooth 5.0",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,нет,Li-Pol,35 Вт*ч,6 ч,,"документация, адаптер питания",251.5 мм,362.2 мм,19.9 мм,1.85 кг,,интегрированная,4 ГБ,нет,,HDMI 1.4b,,есть,,,,45 Вт,5400 об/мин,,,,,,,
4.5,43,99.64,27999,27999,12 мес.,ноутбук,Lenovo V15-IGL,[82C30026RU],2021.0,без ОС,нет,классический,серый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,220 Кд/м²,141 ppi,нет,Intel Celeron N4120,4.0,4,нет,4,1.1 ГГц,2.6 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,Intel UHD Graphics 600,нет,256 ГБ,нет,нет,0.3 Мп (480p),есть,"SD, MMC",нет,"WI-FI 5 (802.11ac), Bluetooth 5.0",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,нет,Li-Pol,35 Вт*ч,6 ч,,"документация, адаптер питания",251.5 мм,362.2 мм,19.9 мм,1.85 кг,Китай,интегрированная,4 ГБ,нет,,HDMI 1.4b,,есть,M.2 PCIe,,,45 Вт,,,,,,,,
