rating,votes,service_rating,price,price_discount,warranty,type,model_id,release_year,operating_system,game_notebook,cover_color,cover_material,body_material,touchpad,fingerprint,mech_keyboard,screen_type,screen_size,screen_res,screen_coat,screen_sensor,screen_frec,screen_bright,screen_ppi,screen_sync,cpu_model,cpu_core,cpu_core_productive,cpu_core_effective,cpu_thread,cpu_freq,cpu_accelerated,ram_type,ram_capacity,ram_freq,gpu_model_int,gpu_model_disc,ssd_volume,hdd_volume,emmc_volume,webcam,card_type,ethernet_port,video_port,audio_port,usb_type_a,usb_type_c,additional_interfaces,thunderbolt,usb_power_delivery,acc_type,acc_capacity,acc_time,depth,width,height,weight,ram_slots,ram_max_volume,ram_free_slot,second_display,video_port_type,tpm_support,ssd_type,seller_warranty,screen_color_depth,adapter_output_power,gpu_manufacturer,video_type,gddr_volume,freq_with_acc,screen_hdr,power_consumption_max,discount,percentage_discount,brand,model_name,transformer,ru_keyboard,keyboard_backlight_type,cpu_vendor,discrete_gpu,gpu_vendor_disc,card_slot_mmc_support,card_slot_type,wifi,bluetooth,cellular,ethernet_port_speed
4.5,3,100.0,25999,25999,12,ноутбук,82C3008HRU,2021,без ОС,False,серый,пластик,пластик,стандартный тачпад,False,False,TN,15.6,HD (1366x768),матовое,False,60.0,220.0,141.0,нет,Celeron N4020,2.0,2,0,2,1.1,2.8,DDR4,4,2400.0,Intel UHD Graphics 600,,128,0,0,0.3,"SD, MMC",False,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,False,Li-Pol,35.0,6.0,251.5,362.2,19.9,1.85,интегрированная,4,нет,,HDMI 1.4b,есть,PCIe,,,45,,,,,,,0,0.0,Lenovo,V15 IGL,False,True,,Intel,False,,True,SD,WI-FI 5 (802.11ac), Bluetooth 5.0,,
5.0,1,100.0,26999,26999,0,ноутбук,90NB0TG2-M002S0,2021,Windows 11 Home Single Language,False,серый,пластик,пластик,стандартный тачпад,False,False,TN,14.0,Full HD (1920x1080),матовое,False,60.0,220.0,157.0,нет,Celeron N4020,2.0,2,0,2,1.1,2.8,DDR4,4,2400.0,Intel UHD Graphics,,128,0,0,0.3,нет,False,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",USB 3.2 Gen1,нет,нет,False,Li-Ion,37.0,6.0,216.0,325.4,19.9,1.6,1,8,нет,,HDMI 1.4,есть,PCIe,12 мес.,NTSC 45%,33,,,,,,,0,0.0,ASUS,Laptop 14 F415MA-EK582W,False,True,,Intel,False,,False,,WI-FI 5 (802.11ac), Bluetooth 4.1,,
4.5,108,99.38,29999,26999,12,ноутбук,NX.HVTER.001,2020,без ОС,False,черный,пластик,пластик,стандартный тачпад,False,False,TN,15.6,Full HD (1920x1080),матовое,False,60.0,220.0,141.0,нет,Athlon Silver 3050U,2.0,2,0,2,2.3,3.2,DDR4,4,2133.0,AMD Radeon Graphics,,256,0,0,0.3,нет,True,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,False,Li-Ion,4810.0,9.0,250.5,363.4,19.9,1.9,1,12,,,,,PCIe,,NTSC 45%,36,,,,,,,3000,10.0,Acer,Aspire 3 A315-23-R3LH,False,True,,AMD,False,,False,,WI-FI 5 (802.11ac), Bluetooth 4.0,,1.0
5.0,8,99.29,29999,26999,12,ноутбук,NX.EFTER.00D,2020,без ОС,False,черный,пластик,пластик,стандартный тачпад,False,False,TN,15.6,Full HD (1920x1080),матовое,False,60.0,,141.0,нет,Celeron N4020,2.0,2,0,2,1.1,2.8,DDR4,4,2133.0,Intel UHD Graphics,,128,0,0,0.3,нет,True,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",нет,,нет,False,Li-Ion,4810.0,6.5,250.5,363.4,19.9,1.94,1,,нет,,HDMI 1.4,,PCIe,,,45,,,,,,,3000,10.0,Acer,Extensa 15 EX215-31-C3FF,False,True,,Intel,False,,False,,WI-FI 5 (802.11ac),,,1.0
4.5,17,99.27,29999,26999,12,ноутбук,NX.EFTER.00P,2021,без ОС,False,черный,пластик,пластик,стандартный тачпад,False,False,TN,15.6,Full HD (1920x1080),матовое,False,60.0,220.0,141.0,нет,Celeron N4020,2.0,2,0,2,1.1,2.8,DDR4,4,2133.0,Intel UHD Graphics 600,,256,0,0,0.3,нет,True,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",нет,нет,нет,False,Li-Ion,4810.0,6.5,250.5,363.4,19.9,1.94,1,8,,,,,PCIe,,,45,,,,,,,3000,10.0,Acer,Extensa 15 EX215-31-C6FV,False,True,,Intel,False,,False,,WI-FI 5 (802.11ac), Bluetooth 4.1,,1.0
4.5,27,99.61,29999,26999,12,ноутбук,82C7009URU,2021,без ОС,False,серый,пластик,пластик,стандартный тачпад,False,False,TN,15.6,Full HD (1920x1080),матовое,False,60.0,220.0,141.0,нет,Athlon Gold 3150U,2.0,2,0,4,2.4,3.3,DDR4,4,2400.0,AMD Radeon Graphics,,256,0,0,0.3,"SD, MMC",False,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,False,Li-Pol,35.0,6.0,251.5,362.2,19.9,1.85,интегрированная + 1 слот,12,1,,HDMI 1.4b,есть,PCIe,,NTSC 45%,65,,,,,,,3000,10.0,Lenovo,V15 ADA,False,True,,AMD,False,,True,SD,WI-FI 5 (802.11ac), Bluetooth 5.0,,
0.0,0,0.0,27199,27199,12,ноутбук,90NB0Q11-M41630,2021,Windows 11 Home Single Language,False,синий,пластик,пластик,сенсорный NumPad,False,False,TN,14.0,Full HD (1920x1080),матовое,False,60.0,220.0,157.0,нет,Celeron N4020,2.0,2,0,2,1.1,2.8,DDR4,4,2666.0,Intel UHD Graphics 600,,0,0,128,1.0,microSD,False,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",USB 3.2 Gen1,,нет,False,Li-Ion,42.0,,217.0,325.0,18.4,1.3,интегрированная,4,нет,,,,,,NTSC 45%,,,,,,,,0,0.0,ASUS,Vivobook Go 14 E410MA-EK1281W,False,True,,Intel,False,,False,microSD,WI-FI 5 (802.11ac), Bluetooth 4.2,,
0.0,0,0.0,30999,27899,0,ноутбук,90NB0TG2-M005S0,2021,Windows 11 Home Single Language,False,серый,пластик,пластик,стандартный тачпад,False,False,TN,14.0,Full HD (1920x1080),матовое,False,60.0,220.0,157.0,нет,Pentium Silver N5030,4.0,4,0,4,1.1,3.1,DDR4,4,2400.0,Intel UHD Graphics,,128,0,0,0.3,нет,False,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",USB 3.2 Gen1,нет,нет,False,Li-Ion,37.0,6.0,216.0,325.4,19.9,1.6,1,8,нет,,HDMI 1.4,есть,PCIe,12 мес.,NTSC 45%,33,,,,,,,3100,10.0,ASUS,Laptop 14 F415MA-EK647W,False,True,,Intel,False,,False,,WI-FI 5 (802.11ac), Bluetooth 4.1,,
4.5,6,99.71,27999,27999,0,ноутбук,90NB0VI1-M003X0,2021,Windows 11 Home Single Language,False,серый,пластик,пластик,стандартный тачпад,False,False,TN,15.6,HD (1366x768),матовое,False,60.0,200.0,100.0,нет,Celeron N4500,2.0,2,0,2,1.1,2.8,DDR4,4,,Intel UHD Graphics,,128,0,0,1.0,нет,False,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",USB 3.2 Gen1,нет,нет,False,Li-Ion,37.0,,234.9,360.2,19.9,1.8,1,16,нет,,HDMI 1.4,есть,PCIe,12 мес.,NTSC 45%,33,,,,,,,0,0.0,ASUS,Laptop 15 F515KA-BR110W,False,True,,Intel,False,,False,,WI-FI 5 (802.11ac), Bluetooth 4.1,,
4.5,12,99.37,27999,27999,0,ноутбук,90NB0TH2-M14730,2021,Windows 11 Home Single Language,False,серебристый,пластик,пластик,стандартный тачпад,False,False,TN,15.6,HD (1366x768),матовое,False,60.0,200.0,100.0,нет,Celeron N4020,2.0,2,0,2,1.1,2.8,DDR4,4,2400.0,Intel UHD Graphics 600,,128,0,0,0.3,microSD,False,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",USB 3.2 Gen1,нет,нет,False,Li-Ion,37.0,,234.9,360.2,19.9,1.8,1,8,нет,,HDMI 1.4,есть,PCIe,12 мес.,NTSC 45%,33,,,,,,,0,0.0,ASUS,Laptop 15 F515MA-BR659W,False,True,,Intel,False,,False,microSD,WI-FI 5 (802.11ac), Bluetooth 4.1,,
